,description
25047,"Located in the heart of Astoria, on a quiet side street just one block away from 30th avenue, with plenty of cafes, bars, and restaurants. Home is 15 minutes away from Manhattan with 3 different subway lines, 2 of which are located on Broadway, and 1 located on Steinway. Home is extremely clean and fully renovated. Furniture and linens are all new. This is a large Home that has been fully renovated. Large living space. All the furniture is brand new. Abundant amount of lighting in each room. Large extendable dining tables, with fully equipped kitchens, and plenty of closet space throughout the home. This home also has a back porch. You will have the entire home all to yourself, including the back porch. We have a self check in process that makes it easy for you to check in and out. We understand and respect your privacy during your stay. We leave it up to our guests to decide how much interaction the guests would like to have with their host. Feel free to reach out to us. The home is"
25673,"2 story penthouse apartment. 2 separate private terraces. With 2 custom built bars. Sonos surround sound throughout Fully functioning kitchen Washer and Dryer in unit Beautiful artwork Lots of closet space Apple TV Beautiful Views 3 bathrooms Walk-up / no doorman Perfect location next to Bowery Hotel, Crunch gym, walk to Soho, LES, Union Square in the heart of Noho Maid service included 1x per week Rent monthly June and July for 12k/month. Will consider 1k/night offers"
25789,"Perfect 4 bedroom apt with 2 bathrooms, and full kitchen and living room. Located in a walk up on 6th Avenue. Ideal location, close to Penn Station and many major subways. Includes washer/dryer, 5 TVs, Premium Cable, WiFi Internet and more! - 4 bedroom loft - 2 bathroom - Central AC/Heat - Sleeps up to 8 people - 7 blocks from Penn Station/ Madison Square Garden Full use of washer/dryer, 5 televisions with premium cable, air conditioning/heat, WiFi four bedrooms and two bathrooms. Owners will meet guests and available if needed. Great neighborhood in heart of flatiron. Walking distance to Penn Station, Union Square, Madison Square Park, the West Village, Chelsea and much more. Walking distance to PATH, Penn Station, and following subway lines: F, M, 1, 2, 3, N, R, L and major hub in Union Square."
25804,"Welcome to the ultimate VIP living experience, a gorgeous 2 bedroom 2 bathroom condo overlooking the hudson river with views of the river and city. Condo comes fully stocked with in condo washer and dryer, high speed wifi, 1 awesime music systems inckuding blue tooth, 3 flat panel large tv's with premium movie channels,dvd players and a fully stocked kitchen with dishes and cutlery, and all modern appliances. Unit has fill desh,printer,fax,copier &toiletries and everything in between. Near all"
25936,"Discover New York City with your friends and family in this well appointed four-story town home situated on historic “Doctor’s Row”, a mere block from Central Park on Manhattan’s Upper West Side. Sleeps 8. Constructed in 1900, this comfortable gilded aged townhouse has been updated with a gourmet stainless steel kitchen, including a 6 burner Viking stove and a large stone island. Entertain in the open living room or roam the park, a stone’s throw from your front stoop. Retire to one of four well appointed bedrooms on the two upper floors each sharing a Tuscan tiled full bath with the master bath having jacuzzi tub and the third floor bath, a claw foot tub. The two front bedrooms get treated to ample morning sun. Additionally there is a washer dryer on the third floor. A spiral staircase in the corner of the parlor floor brings you to the garden level housing an entertainment area with a large flat screen TV, a pull out sectional sofa. The garden level also has a full bathroom. There"
25941,"183 Lafayette Ave is a newly renovated 4 story town house located in prime Fort Greene, 3 blocks from the park. It comprises of 3 large double bedrooms, a large office with skylights, 2 full bathrooms and a further 2 half bathrooms, a large reception floor with balcony,a large chefs kitchen which leads out to a small but beautiful landscaped garden. The house is very close to multiple subway stations and a 15 minute car ride into downtown Manhattan. 70"" Wide Screen TV Bowers and Wilkins Sound System on main floor Sonos Sound System on all other floors Wide Plank Flooring Furnished to high a high standard/ABC Home/Norm Architects/Hay/Vintage Danish Modern/Pendleton/ Fort Green is an incredibly vibrant and creative neighborhood with tree lined streets and beautiful architecture. The house is one block from Dekalb Avenue, which has a some of Brooklyn's best restaurants and three blocks from the picturesque Fort Greene park. The famous Brooklyn Academy of Music (BAM) is also a 5 minute"
26124,"Welcome to my beautiful 3000 sqft mansion in the most coveted part of NYC for true New Yorkers: Union Square. Full homes like these are a rare gem, and this is one of the last ones in the area. It has been outfitted and furnished luxuriously for my family and yours, with a chef's kitchen, state-of-the-art appliances, modern finishes, high-end furniture, and a private garden. We are a stones throw from the electric center of the city just blocks from the finest dining and trendiest bars in town. Sprawling across 3 floors, this home is perfect for large groups. Nestled in a quiet, beautiful tree lined block, you will forget you're right in the middle of everything Manhattan has to offer. 3 bedrooms sleep 6 very comfortable, additional private living areas sleep 2 more on comfortable sofa beds. Hang out and spread out on the giant main floor with a bedroom and a full bath in the front, middle and dining room in the middle, living room and private garden with a grill in the back. All conne"
26269,"Our Tribeca home is nicely located in downtown manhattan. Tribeca is known for is restaurants, easy access to all areas around NYC, beautiful riverside park and nice neighborhood feel. Our apartment received all new furniture in 2018. The master has a king bed and the girls room has bunk beds. Two full bathrooms. Nice light and fresh air from 3 exposures. The home works best for a couple and two kids. We also have a travel crib if needed. No pets."
26766,"Bright, extra large room on a quiet tree lined street in a Brownstone in Bed Stuy. One block from the Kingston-Throop C subway station, and just around the corner from fulton street where there are coffee shops, delis, + more. Your room is on the parlor floor and has a queen size bed, private bathroom with a shower, lots of natural light, plants and books, and a ton of floor space. Full access to kitchen & living room + a second full bathroom on the first floor, as well as a lovely backyard! The kitchen has all the appliances you could need including oven, toaster, large fridge, pots + pans, drip coffee maker, + more. Guests have full access to the downstairs kitchen, living room, second full bathroom with a bath, large backyard space perfect for grilling or drinking coffee in the morning, + your own private bathroom connected directly to your room. I will be away but reachable by phone. 2 roommates live in the house who work full time schedules + will give you plenty of privacy. On"
26951,"Gorgeous, historic brownstone circa 1800. New! Recent gut renovation. Manhattan 'Gold Coast'; historic West Village. Upper 2 full floors; 1700+ sq ft; private terrace; 2 bedrooms, living room, dining room, full kitchen; private washer/dryer; 24/7 elevator access. This is a huge 1,700 square feet space spread across two floors. Ideal for luxuriating and entertaining. We just got married and moved into our 6 floor townhouse. We spent 3 years doing a gut renovation. It is now a gorgeous, modern, and minimalist space with sleek lines inside a historic house. We have made the top two floors a completely independent unit. The New York Observer printed an article on the house back in 2010 which speaks to its history. Your separate entrance will be on the ground floor and the elevator will take you straight to your floors. We will be available most of the time since we live on the bottom three floors : ) Otherwise, available on cell. We have lived in Manhattan for a long time but on the"
26977,1 Bedroom apartment with roof top access.
27045,"Come experience the magic of an artists enchanting loft in the heart of Tribeca. This magnificant 3,500 sq. ft space has been published in New York Magazine and the Telegraph and features hidden rooms, 14 ft ceilings, elegant antiques, fantastical art and a roof deck with plantings and stunning views. Perfect for a romantic getaway for couples with or without kids."
27050,"This is a superb property located in possibly the best area of Manhattan - It boasts 5 bedrooms, 5 baths, a garden and a separate carriage house. This is a very unique and rustic property! West Village GEM"
27055,"Listed here is an entire 6 bedroom townhouse in the West Village of New york with PRIVATE Patio. There are 3 floors over 2500 sqft . Each floor has 2 bedrooms and one bathroom. This is an ideal arrangement for larger groups/families seeking privacy Listed here is an entire 6 bedroom Townhouse in the heart of the West Village. This is a converted 1870's schoolhouse with high ceilings and hardwood floors throughout. The space is very big and its amazing! Each room is very good size with a full or queen bed and is uniquely decorated. I have traveled all over the world and acquired some very unique pieces in the meantime. Each floor is spacious with 2 bedrooms and one bathroom which gives everyone staying here ample privacy. Along with the bedrooms there are 2 large living areas a breakfast bar area, and a full kitchen with dining table thats seats 12 people. The top floor has 15 ft vaulted ceilings and skylights which provide great natural light throughout the day. Yo"
27896,"10 mins walking distance from... - Times Square - Broadway Musicals - Central Park - 5th Avenue - Rockefeller Center - Radio City Music Hall - MoMA - Carnegie Hall, Town Hall, and NY Public Libra 1 bedroom 1 bath apt with balcony located in a luxury 24-hour doorman building, on one of the city’s most impressive side streets. The spacious apt has a queen-sized bed in the bedroom with freshly washed comforters and sheets and a comfortable queen sized sofa bed in the living room. It is an ideal accommodation for 2 to 4 people. The apt has large clear glass soundproofing windows that let in plenty of natural light AND a balcony overlooking the magnificent view of Manhattan. * Queen bed in bedroom (sleeps 2) * Sofa bed in living room (sleeps 2) * Free high-speed internet * Hardwood floors * Wall mounted HDTV in bedroom * Kitchen with coffee maker, microwave, toaster, refrigerator, dishwasher and oven * Bathroom with bathtub and shower head * Clean towels, shampoo * Heat and A/C * Balco"
27923,"OUR PLACE IS GOOD FOR COUPLES, SOLO ADVENTURERS, BUSINESS TRAVELERS, FAMILIES This house is not good for parties This is a private brand new tri-level luxury residence in Forest Hills, one of the most beautiful and safe area in New York. 30 min to Manhattan. 20 minutes driving from JFK Airport. * Please note, this is not entire house for you only. Maybe few more guests will be living here as well. Please feel free to contact me with any questions you have. Our house located in Queens at the 71st Avenue (Forest Hills). This is very famoust and safe place in Queens and has one of the most beautiful Renaissance styles architecture in New York. This is a private luxury residence in the upscale neighborhood of Forest Hills by the Gardens. The house is new was just recently built at 2014 and all furniture are brand new and high quality. Plenty of FREE parking directly outside our home on the street. No permit required. We provide fresh clean linens and toiletries to all our guests. Fresh bre"
27989,"These spectacular one bedroom, one and half bath penthouse residences boast mahogany hardwood floors, multiple exposures, coffered ceilings, solid wood doors and elegant crown moldings. Decorated in a sophisticated, timeless style and appointed with an impressive selection of furnishings and accessories, these apartments are a wonderful environment for entertaining. Bright kitchens feature granite counters with stainless steel, top of the line appliances; marble bathrooms include glass enclosed showers (some with tubs) and Bulgari bath amenities. Large screen TV’s are in the living room and bedroom. A.LOUNGE Our Midtown bar and lounge, a.lounge was designed by acclaimed design house Meyer Davis Studio. A.CINEMA a.cinema is an intimate 8-seat screening room, designed for the viewing pleasure of the residents. Sink into the oversized reclining seats and watch a film of their choice, or enjoy a from our weekly screenings for residents, chosen from resident requests as well as a carefully"
28079,"Beautiful 1905 Victorian home with stunning views of the NYC Harbor. House has an unobstructed view from the side yard of Jersey City, Manhattan and Brooklyn. Great for photo shoots, film shoots, weddings, bar/bat mitzvahs and special events. Individual stay-overs (overnights) not available. This 1905 Victorian splendor has been fully restored by the owner, including the rebuilding of a Widow's Walk on top of the house. The house has won an award from the Preservation League of Staten Island for the beauty and detail of the renovations & restorations undertaken. The house is situated on a large lot 50' wide x 150' deep and includes a side lot with an additional 30' wide x 150' deep. Sitting on a steep hill only 1,200 feet from the NYC harbor, the property has stunning and unobstructed views of Jersey City, lower Manhattan and Brooklyn. The back yard features an extensive garden cultivated and maintained by the owner. The property presents a great opportunity for various film and photo"
28085,"This is a hotel reservation. You will be taking advantage my top tier membership status with major chain hotels, I will be maintaining my memberships at the same time (My major incentive of doing this). Discount and upgrade available, free breakfast for two, club lounge access where available, 4pm late check-out. Please provide me your preferred location and budget when you message me, I will sort out some options with price quote. Unfortunately I am not able to consolidate price info in one Usually 1 king bed or 2 double beds. You will be upgraded depending on the availability. (Occasionally suites upgrade are available although I don't guarantee). Please check my reviews since people were generally happy with the upgrade they received, at least always better than what you book by yourself Hotel Amenity If you need any tips about transportation, Broadway tickets, fun events, or anything. Just feel free to ask, I am happy to assist you. Since I won't be able to update room rate on the"
28433,"Wonderful home in Manhattan NYC with 5 beds. 3 queen size rooms. 1 sofa bed. 1 airmattress. The home is located in the most wonderful neighborhood of NYC. THE VILLAGE! We love our apartment and am certain you will to! Everything is decorated with taste and is extremely CLEAN. Also, extremely safe building and neigborhood! We welcome the opportunity to host you :) Fast WIFI Easy access to apartment. PRIVATE AND QUIET! (no nyc noise) If dates are available on instabook that means they are available and you are welcome to book :)"
28752,"Beautiful UES apartment perfect for the Superbowl. Nice doorman building, within two blocks from subway, 1 bedroom with pull out couch."
28910,"One Month Sublet for August (1300 is the monthly rate)! A bit flexible on the move dates; am also open to subletting September. The apartment is perfectly located a short walk to the Lorimer L, Metropolitan G stops. The apartment has a large shared backyard with grill, fire pit, and film screen! The roof is also accessible if you wish to watch the sun set over Manhattan. Will leave the room furnished!"
28969,"Stay in our beautiful top floor brick loft for the thanksgiving or christmas holiday. Sleeps up to 16 easy, has dining room seating for ~16, a wood-burning fire place, full chef-kitchen, and a private roof deck with stunning views. Guests can enter via your private elevator. The perfect place to host a holiday gathering at home. Private top floor traditional NYC loft with views of the empire state building and freedom tower. Wood burning fireplace, chefs kitchen, large family dining room. Access to roof, private laundry room. Easy access to all of New York's holiday events! 4 min walk from the famous Rolf's German Christmas bar! Close to Union Square and the L, 4, 5, 6, N, Q, R. We'll have a Christmas tree and holiday lighting, as desired. And can leave ample fire wood."
28972,"Adorable, bright apartment available for Jul-Aug sublet. Will be with a NYU student in other bedroom. Shared kitchen, bathroom and living space but private bedroom. Can't beat price or location! Small space but in amazing location, steps to washington sq park! 4 floor walk up, laundry in building! Full size bed. Inviting, cozy environment! Private bedroom, Bathroom, Kitchen, Living area Will not be in Manhattan area but other roommate can always assist! Greenwich Village is one of the most amazing neighborhoods in NYC right now! Apartment is steps away from Washington Sq Park, West Village, Amazing bars and restaurants, subway is walking distance. Beautiful road!"
29071,Huge expansive loft in Flatiron district with 4 bedrooms and 2 baths in an Elevator Building. Union square just a few blocks away and shopping galore all around. Tastefully decorated with exceptional guest experience in mind. The entire space. I offer baggage service before and after checkin. Please inquire to learn more about this service.
29329,"This is a ture one bedroom apartment. The Dining Room had at one time been converted into a 2nd Bedroom with Double Bed (in addition to the Master Bedroom with Queen Sized bed) and the living room has two couches and plenty of room for a blow up air mattress in the open dining room area. Close to Subway, 420 friendly Three Jolly Pigeons Pub, Grocery Store. You’ll love my place because of Common Roof Deck. Good for couples, business travelers, and families (with kids). Great for 1-4 people. Private bedroom, bathroom, living room and kitchen are available to guests. I sleep in the dining room area. The full apartment, I am never there. I’m in the city near by most of the time and always available by text or phone call (or (Hidden by Airbnb) or (Hidden by Airbnb) messenger if you want to save international data charges) and have fast wireless Wi-Di though-out. Street parking available. 7 minute walk to the local R Train. (Phone number hidden by Airbnb) minute commute to Times Square (b"
29524,"Our apartment is brand new, in a great area with easy access to all subway lines! We have two spacious bedrooms available, with a modern kitchen and bathroom included. Located in the heart of the financial district, there is plenty to see and do! Our space can comfortably can 4-5 people, with a master bedroom, smaller bedroom, and one futon. We have two TV's, all new furniture and tableware, and a modern kitchen and bathroom. Guests will have access to everything we have! Mi casa es su casa! Kitchen/bathroom would be shared with our other roommate who will be there that weekend. One of our roommates will be there for the weekend, but feel free to make yourself at home! Located on historic Wall Street, we are a block away from the New York Stock Exchange, the Federal Hall National Memorial, and Museum of American Finance. Several good bars and restaurants around town including unique Stone Street and legendary Fraunces Tavern Public transportation couldn't be easier from our location"
29887,"We know New York apartments are typically small. Worry no more and book this four bed, two bath in Williamsburg. Also want a 360 view of the city? We got you!! Decor in here is modern and chic. Your mom never let you paint your walls black did she?? Well we did it for you! You will have access to the entire two apartments and the roof deck! Of course! Always a phone call, text, or email away! Free street parking nearby. Have you followed us on (Hidden by Airbnb) , Instagram, and (Hidden by Airbnb) yet???"
29921,"ONEFINESTAY is proud to present this 5 bedroom townhouse in New-York. Our team is available 24/7 to answer any question you have. Included amenities: Wifi, iPhone, Welcome Pack, Toiletries, Area Tips, Cleaning, Fridge Fill Service, Cafetiere, 24/7 Support. Hoyt Townhouse II is a five bedroom, two bathroom home in Boerum Hill. Pastel colours, unfussy furnishings and a characterful collection of books, artworks and accessories make the rooms feel welcoming. The classic kitchen, which has a vintage dining table for six, is especially mellow. You’re peacefully situated here, but you’ll find that many of the surrounding streets lead to charming neighbourhood cafés and restaurants. The riverside promenade – which has beautiful views – is also within easy reach, as is the subway at just a five-minute walk away. Size: 198 m2. Amenities: TV, cooking hob, oven, electric kettle, microwave, toaster, heating, Maid Service, Iron Ironing Board, Bed Linen Towels, Toiletries, Washing Machine, Di"
29978,"This ultimate luxury apartment is ideally located in the Lincoln Square neighborhood of Manhattan and is walking distance to world-class shopping and restaurants. Located on a high floor, it offers breathtaking city views providing a true Manhattan experience. It features one queen-size bed and one luxury bath. The interior of this unit has been carefully planned and decorated with Mid-Century modern furniture from Italy and America with warm wood and soft lighting throughout. This ultimate luxury apartment is ideally located in the Lincoln Square neighborhood of Manhattan and is walking distance to world-class shopping and restaurants. Located on a high floor, it offers breathtaking city views providing a true Manhattan experience. It features one queen-size bed and one luxury bath. The interior of this unit has been carefully planned and decorated with Mid-Century modern furniture from Italy and America with warm wood and soft lighting providing a perfect relaxing escape from the"
29996,Comfortable Garden Studio - Double Bed - 2 Sleeper Chairs Sleeps 4 Full Kitchen - Large Bathroom Landmark NYC Block & House Close to Subway - 15 min. to Times Sq. Near Moris-Jumel Mansion Discount for Last Miniute Reservations Easy Street Parking
30106,A bright sunny room in the heart of Bushwick nightlife. Literally steps from the L train and steps from all the famous Bushwick clubs and bars. Guest have access to the kitchen which includes a dishwasher as well as a washer/dryer combo. You would share with one occupant who works nights during weekdays so guest would have the place to themselves.
30177,"Modern East Village duplex is a perfect place for a Superbowl Weekend!! 2 bedroom, 2 bathroom apartment sleeps up to 6 comfortably. We have 2 private roof decks with views of the Empire State Building and Freedom Tower. Steps to N,Q,R,6 & F trains AMAZING SUPERBOWL WEEKEND! Guests have access to the entire apartment including our two roof decks. We overlook the Empire State Building, Freedom Tower and East River and the views are truly spectacular. We have two bedrooms - one with a queen bed, another with a queen air mattress and the living room couch sleeps two adults comfortably. There is a bathroom on both the first and second floor of the unit, each is a full bath with tub and shower. All of the appliances and fixtures are modern and have been recently renovated. What's not to love?! The East Village has a charm like no other neighboyhood in the city. Wander down any street and there are amazing restaurants, cool bars, unique shops and hidden hot spots for anyone's tas"
30731,"The apartment is located in an architecturally significant building with a doorman. The apartment has been entirely renovated with clean elegant lines, top grade materials and a gourmet kitchen. It is close to The Standard, High Line, The Grey Dog and Le Bain. The apartment is located in the middle of the Flatiron District. You’ll love my place because of the neighborhood, the kitchen and the roof top deck. My place is good for couples and business travelers."
30968,"The space is awesome. Right near MSG, Large Apartment, great View of NYC. Fantastic location for those who want to see the Pope. Building includes Gym and Basketball court."
31261,Large Bedroom and Private Living Room.
31309,"Our cozy studio in Harlem is like a funhouse where you can relax and laugh out loud. Everything in it has a story. There's 1 queen bed, a very comfortable couch, optional air mattress for our loft, and detachable hammock for naps and movie viewing! Short walk from A,B,C,D and 3 train. Near grocery store, dry cleaners and organic deli. Entertainment systems like 3D Smart TV, Netflix, 500+ movies, Blu-ray player, VHS player and cassettes, record player, Nintendo64, Wii, and original NES!"
31461,"Immaculate room with private bathroom, queen sized bed and great views of the city from the rooftop! Close to Central Park, Subway, Rockefeller Center, Midtown,& the Empire State Building. You’ll love my place because of the homily neighborhood in the Upper East Side, convenient location (The Q train just opened literally across the street), & living in a clean & spacious apartment! My place is good for couples, solo adventurers, and business travelers. A private place with lots of artwork and timeless furniture. All modern kitchen appliances, 55 inch TV with Xbox, rooftop and own bathroom! Only four blocks from Central Park, near Metropolitan Museum, Guggenheim, Neue Galerie, Museum Mile. Bedroom with queen size bed, Living area, Eat-In kitchen, private bathroom. I really love living in New York city and will be more then happy to share all my knowledge with you. You can call or message me and I will help out with all kind of questions. Upper East Side, back in the days the German and"
31503,"**Currently available for a long term stay Dec-Jan max 2 people. ***PLEASE NOTE: This is not a sublet listing. We do not rent for overnight stays or short term sublets. This is a space for photo/film shoots and we have a maximum of 15 people. 1400 square feet, 2-stories, 13 foot ceilings, south facing 10 foot windows, skyline view of the city including the Manhattan bridge and East River. 1 bedroom, 1 office, 2 bathrooms, large kitchen. Basic photo studio with seamless & equipment available. 1400 square foot, spacious two-story daylight loft on the Lower East Side with 13 foot ceilings. Direct sunlight all day (with blackout shades to control light). Skyline view of the city including the Manhattan Bridge and East River. Elevator accessible. Large open kitchen, two bedrooms, two bathrooms, and office. Furniture and props can be moved, used or stored away as needed. Located on a high floor and quiet street with parking and close to subway (F & JMZ) Photo studio with seamless backdrops"
31516,"1 bed room Presidential Suite at Wyndham 45 Midtown Manhattan, New York City The discreet, attentive multi-lingual concierge associates are available 24 hours a day to assist guests with their every need, while Wi-Fi Internet access ."
31551,"3100SF/SLEEPS12/TOWNHOUSE/4BD/3BTH/CLEAN/MODERN/PRIVATE ENTRANCE/Wheelchair Ramp --Nestled amongst World Class Hotels near 3rd Ave and 50th Street, this special listing offers close proximity to all that busy Midtown Manhattan offers. Very quiet. 3100sf new/modern triplex is bottom three floors of two family townhouse with abundance of light, space, and separate entrance. Nestled amongst World Class Hotels near 3rd Ave and 50th Street, this special listing offers close proximity to all that busy Midtown Manhattan offers: --Transportation: Grand Central Station/Subway/Taxi/Uber/Walking/Citibike --Dining: Endless selection of top restaurants/bars, or stay in and use full kitchen --Shopping: 5th Ave shopping/Bloomingdales - walking distance. --Tourist Attractions: Everything Midtown has to offer, there is a reason all the World Class hotels are in this area. --Central Park: 15 minute walk - and well worth it. We just completed an expensive renovation, including modern decorations/furnish"
31606,"Bright open Clinton Hill loft. Elevator and laundry in the building. Newly remodeled kitchen and 2 short blocks from the subway. Clinton hill/Ft. Greene offers great restaurants and bars and Pratt Institute is 1 block away. Beautiful Clinton Hill 1 Bedroom loft apartment in Brooklyn, 1 block from the train, 15 min to Manhattan. Walking distance to parks, grocery stores, and shops. Laundry in building and elevator. I also have a blow up mattress for extra guest."
31613,"The apartment is a large three bedroom duplex with three full bathroom. Enough room for 8 people. Rockefeller center and time square are just minutes away by subway. Central Park and riverside park are just short walks from the apartment. Third floor walk up. The apartment is located in a residential neighborhood in the upper west side but minutes from restaurants and sites. We have a winter river view as the hudson river is just on the otherside of the park. Subway is two blocks away and it will take you everywhere. Time square is two stops aways and will take 7 minutes. The master bedroom has a queen size bed, a crib, and its own full bathroom. The second bedroom has a lofted twin bed with another twin mattress underneath. The third bedroom has a full size bed and is on the lower floor with a separate entrance. It's has its own living room and bathroom. We also have a full size sofabed in the family room. Our location is right on a main intersection. You can go through cent"
31797,"Price very negotiable. A perfect spot to access all Manhattan has to offer on SuperBowl weekend! The apartment is a very bright and spacious 3 Bedroom apartment. It is a conveniently located 2nd floor walk up in the heart of the upper east side (81st street and 2nd ave) No door man hassle. No neighbor issues. Easy access to 86th street express subway, buses run on 2nd avenue. Price is very negotiable. Make an offer!"
31799,"Included amenities: Wifi, iPhone, Welcome Pack, Toiletries, Area Tips, Cleaning, Fridge Fill Service, Cafetiere, 24/7 Support. Page turner: Library Loft was designed to keep you reading. The sitting room is striking first, a library wall of books running along one side is accessible by ladder and the furniture is contemporary. Just along, the kitchen is coolly cluttered, with rows of hung mugs, pots and pans. And the dining room adjacent has terracotta tiles and mismatched chairs. There are three bedrooms. The master is chic in white, with a wooden headboard against Oriental screens. The two remaining bedrooms are both split level – they have beds on a mezzanine floor above a desk area, which you can get to via a metal, wall-mounted ladder. This home's final room is a bright-yellow bathroom, accessorised with marine ornaments and prints.: Home Truths: - This home does not have air-conditioning in any of the bedrooms. It has air-conditioning units in the kitchen and sitting room on"
31808,"Come enjoy my luxury four bed room duplex apartment with a private backyard! The apartment was just renovated and is located two blocks from the subway in prime Lower East Side. The apartment features two marble bathrooms, hardwood floors, and a granite kitchen."
31888,"Welcome to my full-floor SoHo Artist Loft with private key-locked elevator opening directly onto the apartment. This very unique airy Loft is about 2500 sq ft (230 m²) with 14ft (4,3m) high tin ceilings, and XXL windows. It features 3 comfy bedrooms, 2 full baths with Jacuzzi tubs, a fully equipped kitchen & dining room, 2 living rooms, 58"" TV with cable, A/C and Washer & Dryer in unit. The building is located in the heart of vibrant Soho, steps to the best shopping, restaurants and bars. THE LOFT Enjoy your stay in this one-of-a-kind spacious Loft for a unique NY experience. The private key-locked elevator will take you directly to this full floor apartment, opening on a gigantic living and dining room space with 14ft high tin ceilings, XXL windows and hardwood floors. You will love the place for its space, rare details and amazing location. The Loft features: - 3 bedrooms with custom-made Shoji style wood and rice paper panels, for a unique style and privacy in the rooms within the"
31911,"Artsy loft in Tribeca facing Soho!!! The loft is located in the north side of Tribeca, a very trendy NYC neighborhood within 5 minutes walking distance to Soho. It’s a wonderful loft with double glazed windows, noise sound proof and a total black out shades. As it shows in the pictures, a lovely place to relax and a great base to explore the area. Children friendly and baby proofed as we do have a 3 year old living here in his huge queen size crib Guests have access to the rooftop to watch the one world observatory. I’ll be greeting them and showing the facilities at the loft and the building. The loft is located within 5 minutes walking to west broadway and Greenwich street which has a big varieties of amazing restaurants and great coffee shops. We are 3 blocks from the Hudson River and all the parks arounds Subways are located 3 blocks away and from here you can be in 5th Ave in 20 minutes with the line E. Lines A,C, 1 or E stops at Canal Street, the local stop. The closets are"
31972,Stay close to everything the city has to offer in my clean and gorgeous apartment. Steps from Penn Station and all metro lines.
32174,"Aysgarth Brooklyn is a tucked away Private Residence in a 1931 restored Carriage House. A four bedroom home with ensuite baths has a modern design sensibility. Each room has its own distinct look, developed into a thoughtful design centric sensibility. Our intention is that our Guests experience a sense of quiet luxury and comfort. Whether you're looking for peacefulness or excitement, you'll find it all. We hope you'll remember us in a fond way. What makes this Carriage House unique is that it's tucked away in the midst of all the best neighborhoods. Entering the property presents a Hide & Reveal experience, immersed in a bustling community in Prospect Heights. Steps away to Crown Heights, Clinton Hill, Fort Greene and Bed Stuy. It is an Urban Oasis and Retreat, where you may enjoy the comforts of the attractive, home or go out and enjoy the multitude of restaurants, bars and cultural entertainment that surrounds. A guaranteed superb experience. The Guests have access to the entire"
32331,"- 807 square feet - Expansive 300 square foot terrace ideal for entertaining and relaxing - Corner views with Floor to Ceiling Windows - One Bedroom Suite with One King Bed - Living area with sofa - Dining Room Table with seating for six - One and a half bathrooms - Over-sized flat screen TV’s with Chromecast. Enjoy Netflix, Hulu, Pandora or any of 1,000+ apps on your hotel room TV’s - Complimentary High Speed Wireless - Complimentary In-room Nespresso machine 24/7 attended door 24/7 Resident Services Team to answer questions and offer recommendations 24/7 In-Room Dining Twice-daily housekeeping service (daily and turndown) Valet dry cleaning services Complimentary high-speed internet + Wi-Fi available in amenity spaces In room mini-bar service Valet parking available Complimentary shoe shine services Front desk is available 24/7 Tribeca is famous the world over for its Tribeca Film Festival, but the neighborhood has been drawing in visitors and locals alike for decades with its trendy"
32411,"The room has great lighting, and the rooftop has views of the ESB and OWTC. It is in the heart of the east village, but does not have any noise troubles. The apartment is furnished, including an A/C, Fridge, Microwave, Desk, and Couch among others."
32432,"Beautifully restored and renovated Townhouse. Penthouse triplex seldom available. Private elevator leads to luxory, privacy and comfort. 4 bedrooms, 5 baths, chef kitchen, stone fireplace, 2 spacious rooftop gardens with hot tub. 2 balconies with garden and fountain. Across the street from Riverside Park and walking distance to restaurants, boutiques, museums and more. 10 minutes from Broadway. The 5th floor where you enter is a Full floor open living. Full kitchen, dining area living room, grand piano, guest room and full bath. the 6th floor is a family room and entertainment area with 2 huge garden decks. Outdoor dining and hot tub and bathroom. the 4th floor is 3 bedrooms and 3 baths You will have full access to the triplex and roof garden Our son is nearby and is available for questions and local information and tips! The Upper Westside of Manhattan is country living in the city! With Central Park, Riverside Park and the Hudson River minutes away it always feels like summer wit"
32716,"One of the best neighborhoods in the city to get around. Tons of subway lines within a couple of blocks, great restaurants, as well as fun nightlife. Some touristy things to do and see as well. If you are looking for a good time in NYC our apartment is the place for you! We are working professional men in our late 20's with active social lives. Our apartment has 2 TVs, free wi-fi, and plenty space to relax. There are four bedrooms here and 3 are occupied. There is a kitchen, one bathroom with a huge living space. There is both an elevator, and a stairwell that you can use to enter our apartment. If you are here during the weekend expect some late nights and fun in New York City. If you are here during the week expect a relaxed atmosphere, however be respectful as we are all working professionals. Local area has nice places like Madison Sqare Park, and a short walk to Penn Station and Madison Square Garden. It is only a 10 minute walk to Grand Central Station as well. 3 minut"
32787,"Enjoy Thanksgiving and/or Christmas in NYC - Family home - one block from Central Park and 5-10min walk to Museum of Natural History - Ideal location with great restaurants and shopping on Columbus Ave. LARGE open apartment with approx 2500 Sq Ft Large, newly renovated 4bdr apt with high ceilings (4th bedroom setup as office/guest room) Eat in kitchen Separate dining room for 8"
32823,"My place is close to EVERYTHING. You’ll love my place because of So HUGE and center of Manhattan, the high ceilings, the coziness. Everything that you see in the photos Entire apartment"
